Province,Constituency Number (ID),Constituency Name
KPK,NA-1 ,Chitral
KPK,NA-1 ,Chitral
KPK,NA-1 ,Chitral
KPK,NA-1 ,Chitral
KPK,NA-1 ,Chitral
KPK,NA-1 ,Chitral
KPK,NA-1 ,Chitral
KPK,NA-1 ,Chitral
KPK,NA-1 ,Chitral
KPK,NA-1 ,Chitral
KPK,NA-1 ,Chitral
KPK,NA-2 ,Swat-I
KPK,NA-2 ,Swat-I
KPK,NA-2 ,Swat-I
KPK,NA-2 ,Swat-I
KPK,NA-2 ,Swat-I
KPK,NA-2 ,Swat-I
KPK,NA-2 ,Swat-I
KPK,NA-2 ,Swat-I
KPK,NA-2 ,Swat-I
KPK,NA-2 ,Swat-I
KPK,NA-3 ,Swat-II
KPK,NA-3 ,Swat-II
KPK,NA-3 ,Swat-II
KPK,NA-3 ,Swat-II
KPK,NA-3 ,Swat-II
KPK,NA-3 ,Swat-II
KPK,NA-3 ,Swat-II
KPK,NA-3 ,Swat-II
KPK,NA-4 ,Swat-III
KPK,NA-4 ,Swat-III
KPK,NA-4 ,Swat-III
KPK,NA-4 ,Swat-III
KPK,NA-4 ,Swat-III
KPK,NA-4 ,Swat-III
KPK,NA-4 ,Swat-III
KPK,NA-4 ,Swat-III
KPK,NA-4 ,Swat-III
KPK,NA-4 ,Swat-III
KPK,NA-4 ,Swat-III
KPK,NA-5 ,Upper Dir
KPK,NA-5 ,Upper Dir
KPK,NA-5 ,Upper Dir
KPK,NA-5 ,Upper Dir
KPK,NA-5 ,Upper Dir
KPK,NA-5 ,Upper Dir
KPK,NA-5 ,Upper Dir
KPK,NA-5 ,Upper Dir
KPK,NA-5 ,Upper Dir
KPK,NA-5 ,Upper Dir
KPK,NA-6 ,Lower Dir-I
KPK,NA-6 ,Lower Dir-I
KPK,NA-6 ,Lower Dir-I
KPK,NA-6 ,Lower Dir-I
KPK,NA-6 ,Lower Dir-I
KPK,NA-6 ,Lower Dir-I
KPK,NA-6 ,Lower Dir-I
KPK,NA-6 ,Lower Dir-I
KPK,NA-7 ,Lower Dir-II
KPK,NA-7 ,Lower Dir-II
KPK,NA-7 ,Lower Dir-II
KPK,NA-7 ,Lower Dir-II
KPK,NA-7 ,Lower Dir-II
KPK,NA-7 ,Lower Dir-II
KPK,NA-7 ,Lower Dir-II
KPK,NA-7 ,Lower Dir-II
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-8 ,Malakand
KPK,NA-9 ,Buner
KPK,NA-9 ,Buner
KPK,NA-9 ,Buner
KPK,NA-9 ,Buner
KPK,NA-9 ,Buner
KPK,NA-9 ,Buner
KPK,NA-9 ,Buner
KPK,NA-10 ,Shangla
KPK,NA-10 ,Shangla
KPK,NA-10 ,Shangla
KPK,NA-10 ,Shangla
KPK,NA-10 ,Shangla
KPK,NA-10 ,Shangla
KPK,NA-10 ,Shangla
KPK,NA-10 ,Shangla
KPK,NA-10 ,Shangla
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-11 ,Kohistan-cum-Lower Kolai Pallas Kohistan
KPK,NA-12 ,Battagram
KPK,NA-12 ,Battagram
KPK,NA-12 ,Battagram
KPK,NA-12 ,Battagram
KPK,NA-12 ,Battagram
KPK,NA-12 ,Battagram
KPK,NA-12 ,Battagram
KPK,NA-12 ,Battagram
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-13 ,Mansehra-I
KPK,NA-14 ,Mansehra-cum-Torghar
KPK,NA-14 ,Mansehra-cum-Torghar
KPK,NA-14 ,Mansehra-cum-Torghar
KPK,NA-14 ,Mansehra-cum-Torghar
KPK,NA-14 ,Mansehra-cum-Torghar
KPK,NA-14 ,Mansehra-cum-Torghar
KPK,NA-14 ,Mansehra-cum-Torghar
KPK,NA-14 ,Mansehra-cum-Torghar
KPK,NA-14 ,Mansehra-cum-Torghar
KPK,NA-14 ,Mansehra-cum-Torghar
KPK,NA-14 ,Mansehra-cum-Torghar
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-15 ,Abbottabad-I
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-16 ,Abbottabad-II
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-17 ,Haripur
KPK,NA-18 ,Swabi-I
KPK,NA-18 ,Swabi-I
KPK,NA-18 ,Swabi-I
KPK,NA-18 ,Swabi-I
KPK,NA-18 ,Swabi-I
KPK,NA-18 ,Swabi-I
KPK,NA-18 ,Swabi-I
KPK,NA-18 ,Swabi-I
KPK,NA-18 ,Swabi-I
KPK,NA-18 ,Swabi-I
KPK,NA-18 ,Swabi-I
KPK,NA-18 ,Swabi-I
