Position,Candidate,Party,Votes,% Vote Share,Registered Votes,Valid Votes,Rejected  Votes,Turnout,constituency,Assembly,Year
Winner,Alhaj Ghulam Ahmad Bilour,ANP,25930,68,260968,37941,385,15%,NA-1 Peshawar-I,National,1997
2,Qamar Abbas,PPP,11275,29,260968,37941,385,15%,NA-1 Peshawar-I,National,1997
3,Aurangzeb Mohmand,IND,223,1,260968,37941,385,15%,NA-1 Peshawar-I,National,1997
4,Ghulam M. Bazaz,IND,193,1,260968,37941,385,15%,NA-1 Peshawar-I,National,1997
5,Rehmat Gul Afridi,IND,150,0,260968,37941,385,15%,NA-1 Peshawar-I,National,1997
6,M. Khurshid Anwar,IND,67,0,260968,37941,385,15%,NA-1 Peshawar-I,National,1997
7,Qamar Ali Shah,IND,54,0,260968,37941,385,15%,NA-1 Peshawar-I,National,1997
8,M. Jehanzeb Khan,AQP,49,0,260968,37941,385,15%,NA-1 Peshawar-I,National,1997
Winner,Arbab M. Jehangir Khan,ANP,24094,53,180496,44562,1121,25%,NA-2 Peshawar-II,National,1997
2,Haji Ghulam Ali,JUI,12415,27,180496,44562,1121,25%,NA-2 Peshawar-II,National,1997
3,Ibadatullah Khan,PTI,4348,10,180496,44562,1121,25%,NA-2 Peshawar-II,National,1997
4,M. Fayyaz Khan Khalil,PPP-SB,1859,4,180496,44562,1121,25%,NA-2 Peshawar-II,National,1997
5,Taj M. Amar,NPP-WG,645,1,180496,44562,1121,25%,NA-2 Peshawar-II,National,1997
6,Arbab Mushtaq Ahmad,HPG,631,1,180496,44562,1121,25%,NA-2 Peshawar-II,National,1997
7,Imtiaz Illahi Paracha,IND,570,1,180496,44562,1121,25%,NA-2 Peshawar-II,National,1997
Winner,Arbab Saadullah Khan,ANP,48451,65,235412,71733,2595,32%,NA-3 Peshawar-III,National,1997
2,Sardar Ali Khan,PPP,20291,27,235412,71733,2595,32%,NA-3 Peshawar-III,National,1997
3,Salim Akbar Afridi,PPP-SB,2149,3,235412,71733,2595,32%,NA-3 Peshawar-III,National,1997
4,M. Naeem Qasmi,IND,842,1,235412,71733,2595,32%,NA-3 Peshawar-III,National,1997
Winner,Wali M. Khan,ANP,43511,61,221331,69326,2548,32%,NA-4 Nowshera,National,1997
2,Naseerullah Babar,PPP,22213,31,221331,69326,2548,32%,NA-4 Nowshera,National,1997
3,Umar Khan Yusufzai,PTI,3022,4,221331,69326,2548,32%,NA-4 Nowshera,National,1997
4,S. Azmat Ali Shah Gilani (R),IND,580,1,221331,69326,2548,32%,NA-4 Nowshera,National,1997
Winner,Asfandyar Wali Khan,ANP,53059,51,344795,101785,3166,30%,NA-5 Charsada,National,1997
2,Molana Gohar Shah,JUI,34733,33,344795,101785,3166,30%,NA-5 Charsada,National,1997
3,Ijaz Khisro Khan,PPP-SB,5508,5,344795,101785,3166,30%,NA-5 Charsada,National,1997
4,Ziarat Gul,IND,3818,4,344795,101785,3166,30%,NA-5 Charsada,National,1997
5,Hikmat Shah,IND,1919,2,344795,101785,3166,30%,NA-5 Charsada,National,1997
6,M. Nazeef,PKMAP,1485,1,344795,101785,3166,30%,NA-5 Charsada,National,1997
7,Eng. Fawad-ul-Haq,TIP,1263,1,344795,101785,3166,30%,NA-5 Charsada,National,1997
Winner,Haji Naseem-ur-Rehman,ANP,36412,60,249256,59939,1159,25%,NA-6 Mardan-I,National,1997
2,Haji M. Yaqoob,PPP,15564,25,249256,59939,1159,25%,NA-6 Mardan-I,National,1997
3,Latif-ur-Rehman,PTI,7264,12,249256,59939,1159,25%,NA-6 Mardan-I,National,1997
4,Fazl-e-Azim Khaksar,HPG,699,1,249256,59939,1159,25%,NA-6 Mardan-I,National,1997
Winner,M. Azam Khan,ANP,29117,39,263959,73709,1681,29%,NA-7 Mardan-II,National,1997
2,M. Idrees Khan,IND,17104,23,263959,73709,1681,29%,NA-7 Mardan-II,National,1997
3,Haji Sarfraz Khan,PPP,15743,21,263959,73709,1681,29%,NA-7 Mardan-II,National,1997
4,M. Zahir,PAP,4935,7,263959,73709,1681,29%,NA-7 Mardan-II,National,1997
5,Sikandar Khan,PTI,3704,5,263959,73709,1681,29%,NA-7 Mardan-II,National,1997
6,Molana Noor-ul-Haq,AQP,1208,2,263959,73709,1681,29%,NA-7 Mardan-II,National,1997
7,Ziarat Khan Tormand,IND,959,1,263959,73709,1681,29%,NA-7 Mardan-II,National,1997
8,Aurangzeb Khan,HPG,542,1,263959,73709,1681,29%,NA-7 Mardan-II,National,1997
9,Col. (R) Haji Syed Nasir Shah,TIP,397,1,263959,73709,1681,29%,NA-7 Mardan-II,National,1997
Winner,Haji Rehmanullah,ANP,39828,36,327086,106100,3277,33%,NA-8 Swabi,National,1997
2,Iftikhar Ahmad Khan,PML-N,36589,33,327086,106100,3277,33%,NA-8 Swabi,National,1997
3,Munfat Khan,PPP,12279,11,327086,106100,3277,33%,NA-8 Swabi,National,1997
4,Asad Qaisar,PTI,4113,4,327086,106100,3277,33%,NA-8 Swabi,National,1997
5,Awal Sher Khan,IND,4009,4,327086,106100,3277,33%,NA-8 Swabi,National,1997
6,Syed Zabihullah,PPP-SB,2399,2,327086,106100,3277,33%,NA-8 Swabi,National,1997
7,Ayub Khan,AQP,2031,2,327086,106100,3277,33%,NA-8 Swabi,National,1997
8,Hakim Khan,PAP,1770,2,327086,106100,3277,33%,NA-8 Swabi,National,1997
9,Shad Nabi,IND,1219,1,327086,106100,3277,33%,NA-8 Swabi,National,1997
10,Yaqoob Khan,PML-J,1039,1,327086,106100,3277,33%,NA-8 Swabi,National,1997
11,Gul Mast Khan (R),IND,683,1,327086,106100,3277,33%,NA-8 Swabi,National,1997
12,Abdul Hafeez Khan,IND,141,0,327086,106100,3277,33%,NA-8 Swabi,National,1997
Winner,Javed Ibrahim Paracha,PML-N,62412,64,361656,95151,2782,27%,NA-9 Kohat-cum-Hangu,National,1997
2,Iftikhar Hussain Gilani,IND,17142,18,361656,95151,2782,27%,NA-9 Kohat-cum-Hangu,National,1997
3,Syed Abid Jawad,PPP-SB,5894,6,361656,95151,2782,27%,NA-9 Kohat-cum-Hangu,National,1997
4,Malik Fida Muhammad,JUI-S,5082,5,361656,95151,2782,27%,NA-9 Kohat-cum-Hangu,National,1997
5,Alhaj M. Hafizullah,IND,4621,5,361656,95151,2782,27%,NA-9 Kohat-cum-Hangu,National,1997
Winner,Sahms-ur-Rehman,ANP,22959,40,178803,55831,1338,32%,NA-10 Karak,National,1997
2,M. Aslam Khan Khattak,IND,15596,27,178803,55831,1338,32%,NA-10 Karak,National,1997
3,Raza Kuli Khan Khattak,PML-N,5945,10,178803,55831,1338,32%,NA-10 Karak,National,1997
4,Malik Zafar Azam,IND,5845,10,178803,55831,1338,32%,NA-10 Karak,National,1997
5,Brig. (R) Bashir Hussain,PTI,2661,5,178803,55831,1338,32%,NA-10 Karak,National,1997
6,Molana Mir Zaqeem Khan,JUI-S,1654,3,178803,55831,1338,32%,NA-10 Karak,National,1997
7,Altaf Qadir,IND,713,1,178803,55831,1338,32%,NA-10 Karak,National,1997
8,M. Riaz,IND,310,1,178803,55831,1338,32%,NA-10 Karak,National,1997
9,Abdul Haleem Khattak,IND,148,0,178803,55831,1338,32%,NA-10 Karak,National,1997
Winner,Sardar Mehtab Ahmad Khan,PML-N,55341,62,276034,87263,1894,32%,NA-11 Abbottabad-cum-Haripur-I,National,1997
2,Amanullah Khan Jadoon,IND,21253,24,276034,87263,1894,32%,NA-11 Abbottabad-cum-Haripur-I,National,1997
3,Imran Khan,PTI,5227,6,276034,87263,1894,32%,NA-11 Abbottabad-cum-Haripur-I,National,1997
4,S. M. Gulzar Abbasi,PPP,2509,3,276034,87263,1894,32%,NA-11 Abbottabad-cum-Haripur-I,National,1997
5,Rashida Batool,PPP-SB,1405,2,276034,87263,1894,32%,NA-11 Abbottabad-cum-Haripur-I,National,1997
