National,Winning Candidate,Party,Votes,Party,Party
NA-1,?????? ???????????????,MMA,48616,PTI,MMA
NA-2,???? ??? ???,PTI,61687,PTI,PTI
NA-3,???? ?????,PTI,68162,PTI,PTI
NA-4,???? ????,PTI,71600,PTI,PTI
NA-5,???????? ???? ????,PTI,66545,MMA,PTI
NA-6,????? ???,PTI,63440,PPPP,PTI
NA-7,???? ???? ???,PTI,63017,PTI,PTI
NA-8,???? ????,PTI,81310,PTI,PTI
NA-9,??????????,PTI,58037,PTI,PTI
NA-10,???????? ???,PMLN,34070,PTI,PMLN
NA-11,????? ???,MMA,15859,MMA,MMA
NA-12,???? ???? ???,PTI,34270,PTI,PTI
NA-13,???? ????,IND,109282,IND,IND
NA-14,???? ????,PMLN,90579,PTI,PMLN
NA-15,?????? ????? ?????,PMLN,95340,PML-N,PMLN
NA-16,??? ??? ????,PTI,86203,PTI,PTI
NA-17,??? ???? ???,PTI,172609,PTI,PTI
NA-18,??? ????,PTI,78970,PTI,PTI
NA-19,????? ???,PTI,83903,PTI,PTI
NA-20,????? ???,PTI,78140,PTI,PTI
NA-21,???? ???? ???? ???,ANP,78911,PTI,ANP
NA-22,??? ???? ???,PTI,58577,PTI,PTI
NA-23,???? ???,PTI,59371,QWP,PTI
NA-24,??? ???? ???,PTI,83495,PTI,PTI
NA-25,????? ???,PTI,82118,PTI,PTI
NA-26,????? ???,PTI,90256,PTI,PTI
NA-27,??? ???? ???,PTI,71158,PTI,PTI
NA-28,????? ???? ????,PTI,74414,PTI,PTI
NA-29,???????,PTI,49762,PTI,PTI
NA-30,????? ??? ??? ??? ????,PTI,73781,PTI,PTI
NA-31,???? ???,PTI,87895,PTI,PTI
NA-32,?????? ??????,PTI,81347,PTI,PTI
NA-33,???? ????,PTI,28819,PTI,PTI
NA-34,???? ????,PTI,77181,PTI,PTI
NA-35,????? ???,PTI,113822,PTI,PTI
NA-36,???? ????,MMA,91065,PTI,MMA
NA-37,??? ?????,MMA,28504,PTI,MMA
NA-38,??? ???? ???,PTI,80236,PTI,PTI
NA-39,???? ????? ???,PTI,5511,PTI,PTI
NA-40,?? ??? ???,PTI,34616,PTI,PTI
NA-41,?? ??? ???,PTI,22730,PTI,PTI
NA-42,???? ???,PTI,22717,PTI,PTI
NA-43,??????? ?????,PTI,33243,PTI,PTI
NA-44,????? ???????,PTI,12537,ANP,PTI
NA-45,???? ??? ???????,MMA,16353,PTI,MMA
NA-46,???? ???? ????,PPPP,21461,PTI,PPPP
NA-47,???? ????,PTI,11102,PTI,PTI
NA-48,???? ?????,IND,16415,PTI,IND
NA-49,?????? ???? ?????,MMA,7794,PTI,MMA
NA-50,???? ??? ????,IND,23530,PML-N,IND
NA-51,?????????,MMA,21896,PTI,MMA
NA-52,???? ??? ????? ????,PTI,64690,PPPP,PTI
NA-53,????? ???,PTI,92891,PPPP,PTI
NA-54,??? ???,PTI,56945,PTI,PTI
NA-55,???? ????,PTI,145168,PPPP,PTI
NA-56,???? ????,PTI,163326,IND,PTI
NA-57,????? ??? ???,PTI,126940,GDA,PTI
NA-58,???? ????? ????,PPPP,125090,PPPP,PPPP
NA-59,???? ???? ???,PTI,89055,PPPP,PTI
NA-61,???? ????? ?????,PTI,105000,PPPP,PTI
NA-62,??? ???? ????,AML,117719,PPPP,AML
NA-63,???? ???????,PTI,100986,PPPP,PTI
NA-64,??????? ??? ???,PTI,155214,PPPP,PTI
NA-65,????? ?????,PML,157497,PPPP,PML
NA-66,?????? ??? ?????,PTI,112356,PPPP,PTI
NA-67,???? ????,PTI,93108,PPPP,PTI
NA-68,???? ?????,PML,104678,PPPP,PML
NA-69,????? ?????,PML,122336,PPPP,PML
NA-70,??? ??? ?????,PTI,95168,PPPP,PTI
NA-71,?????? ???? ???,PMLN,88588,PPPP,PMLN
NA-72,?????? ?????? ??????,PMLN,129041,PPPP,PMLN
NA-73,????? ???? ???,PMLN,116957,PPPP,PMLN
NA-74,??? ????,PMLN,97235,PPPP,PMLN
NA-75,??? ???????????,PMLN,101617,IND,PMLN
NA-76,???? ???? ???? ???,PMLN,133664,Pakistan Rah-e-Haq Pak,PMLN
NA-77,?????????????,PMLN,106366,PML-N,PMLN
NA-78,???? ????? ??????,PMLN,159651,PPPP,PMLN
NA-79,???? ???? ????,PMLN,142545,PPPP,PMLN
NA-80,?????? ????? ???? ???,PMLN,108653,PPPP,PMLN
NA-81,??? ?????? ???,PMLN,130837,PPPP,PMLN
NA-82,????? ??????? ??? ???? ???????,PMLN,117520,PPPP,PMLN
NA-83,????????????,PMLN,139235,PPPP,PMLN
NA-84,???????? ?????,PMLN,119612,PPPP,PMLN
NA-85,???? ?????? ???? ??????,PTI,99996,PPPP,PTI
NA-86,????????? ?????,PMLN,147105,MQM,PMLN
NA-87,?????? ???? ??? ????,PTI,165618,PPPP,PTI
NA-88,????? ???? ???,PMLN,129615,PPPP,PMLN
NA-89,???? ???? ??????,PMLN,114245,PPPP,PMLN
NA-90,?????? ???? ???? ????,PMLN,93948,PPPP,PMLN
NA-91,??????????? ????,PMLN,110525,PPPP,PMLN
NA-92,??? ????? ?????,PMLN,97013,PPPP,PMLN
NA-93,??? ???? ???,PTI,100448,PPPP,PTI
NA-94,??? ???? ????? ???? ?????,PTI,93864,PSP,PTI
NA-95,????? ???,PTI,163538,PSP,PTI
NA-96,???? ??? ???,PTI,156065,IND,PTI
NA-97,???????? ??? ???? ???,IND,120729,PPPP,IND
NA-98,???? ???? ??? ???????,PTI,138307,PPPP,PTI
NA-99,???? ????,PTI,81330,ANP,PTI
NA-100,???? ???? ???,PMLN,76415,MMA,PMLN
NA-101,???????? ????,IND,147812,Peoples Movement Pakistan(PMP),IND
NA-102,???? ???,PTI,109708,IND,PTI
NA-104,?????? ???? ????? ????,PMLN,95099,IND,PMLN
NA-105,??? ??????? ????,PTI,77662,IND,PTI
NA-106,???? ???? ???? ???,PMLN,106319,Mohajir Qumi Movement Pakistan,PMLN
NA-107,??? ?????,PTI,126441,PPPP,PTI
NA-108,??? ????,PTI,112740,PPPP,PTI
NA-109,??? ????,PTI,122905,IND,PTI
NA-110,???? ???? ????,PTI,114215,PPPP,PTI
NA-111,?????? ???? ?????,PMLN,110556,PPPP,PMLN
NA-112,???? ???? ????? ??????,PMLN,125303,PPPP,PMLN
NA-113,???? ???? ??????,PTI,128274,PPPP,PTI
NA-114,???????? ???? ????? ?????,PTI,106043,ANP,PTI
NA-115,???? ?? ??,PTI,91434,Pakistan Falah Party,PTI
NA-116,???? ???? ?????,PTI,90649,PML-N,PTI
NA-117,?????? ???? ????? ????,PMLN,71891,PML-N,PMLN
NA-118,????? ???? ???,PTI,63818,PTI,PTI
NA-119,???? ???? ???? ????,PTI,110231,PTI,PTI
