Party,Probability,,,,,
ANP,0.159192825,,,,PKMAP,0.131386861
PPP,0.111111111,,,,ANP,0.159192825
IND,0.019811502,,,,PPPP,0.367847258
AQP,0,,,,JUI,0.075514874
JUI,0.075514874,,,,PTI,0.078228087
PTI,0.078228087,,,,PML-N,0.380901857
PPP-SB,0.003717472,,,,BNP,0.1125
NPP-WG,0,,,,MQM,0.136487716
HPG,0.235294118,,,,IND,0.019811502
PKMAP,0.131386861,,,,,
,0,,,,,
PAP,0,,,,,
PML-N,0.380901857,,,,,
PML-J,0.038961039,,,,,
JUI-S,0,,,,,
PML-J Chattha,0,,,,,
JUP-Noorani,0,,,,,
PPP-ZAB,0,,,,,
PML-Q Shuja,0,,,,,
NPP,0.25,,,,,
JMP,0,,,,,
PSL,0,,,,,
MJAH,0,,,,,
MIP,0,,,,,
PDP,0,,,,,
KT,0,,,,,
TI,0,,,,,
AI,0,,,,,
WP,0,,,,,
SI,0,,,,,
AIMP,0,,,,,
SNP,0,,,,,
JWP,0.117647059,,,,,
PMI,0,,,,,
UNA,0,,,,,
MQM-H,0,,,,,
MKP-KBG,0,,,,,
AT,0,,,,,
PKQP,0,,,,,
PML-F,0.165137615,,,,,
MWM,0,,,,,
PakNP,0,,,,,
ST,0,,,,,
BNP,0.1125,,,,,
BNM,0.085714286,,,,,
KJPP,0,,,,,
JQM,0.058823529,,,,,
JIP,0,,,,,
PPPP,0.256736146,,,,,
PML-Q,0.241221374,,,,,
MQMP,0.026315789,,,,,
MMA,0.139476961,,,,,
MQM,0.136487716,,,,,
NMP,0.064516129,,,,,
PAT,0,,,,,
PMKP,0,,,,,
LPP,0,,,,,
PFP,0,,,,,
SURA,0,,,,,
PMA,0,,,,,
PIT,0,,,,,
PML-Z,0.075471698,,,,,
LPP-K,0,,,,,
BNDP,0.052631579,,,,,
QJP,0,,,,,
IP,0,,,,,
PWrP,0,,,,,
IMH,0,,,,,
BNC,0,,,,,
TJP,0,,,,,
PWP,0,,,,,
PSDP,0,,,,,
PJAP,0,,,,,
MJH,0,,,,,
PPP-S,0.139130435,,,,,
HQM,0,,,,,
PQA,0,,,,,
PSP,0,,,,,
SPP,0,,,,,
TPP,0,,,,,
QIP,0,,,,,
MNAKA,0,,,,,
PGP,0,,,,,
PML-Jinnah,0.333333333,,,,,
JUP-NS,0,,,,,
PATI,0,,,,,
THP,0,,,,,
MM,0,,,,,
SSMP,0,,,,,
PSPP,0,,,,,
MIT,0,,,,,
NWP,0,,,,,
AHTP,0,,,,,
PMP,0,,,,,
PBP,0,,,,,
PCM,0,,,,,
PTI-Inqalab,0,,,,,
PAmP,0,,,,,
PQP,0,,,,,
JAHP-EZ,0,,,,,
MJUP (FK),0,,,,,
PNP,0,,,,,
APP,0,,,,,
Pasban,0,,,,,
SUP,0,,,,,
PQL,0,,,,,
HDP,0,,,,,
BNP-A,0.139534884,,,,,
NP,0.183673469,,,,,
TI-RKW,0,,,,,
PBchP,0,,,,,
JUP-Niazi,0,,,,,
BP,0,,,,,
JI,0.021359223,,,,,
TTP,0,,,,,
PPM,0,,,,,
MDM,0,,,,,
APML,0.007722008,,,,,
QWP,0.083333333,,,,,
JPP,0,,,,,
TIUP,0,,,,,
AJIP,0.444444444,,,,,
PJP,0,,,,,
AWP,0,,,,,
JUI-Nazryati,0,,,,,
TM,0,,,,,
TSH,0,,,,,
PML-S,0,,,,,
AMLP,0.01369863,,,,,
HAIP,0,,,,,
PML-H,0,,,,,
PML-M,0,,,,,
MQP,0,,,,,
MWMP,0.010989011,,,,,
CPM,0,,,,,
SIC,0,,,,,
CPP,0,,,,,
PAI,0,,,,,
PST,0,,,,,
MJMP,0,,,,,
IRP,0,,,,,
PFP-Falah,0,,,,,
SPkP,0,,,,,
PIHP,0,,,,,
JAKUFR,0,,,,,
ITP,0,,,,,
IPM,0,,,,,
AJPP,0,,,,,
PNML,0.0625,,,,,
PIJP,0,,,,,
MP,0,,,,,
GAP,0,,,,,
PMhL,0,,,,,
APYWP,0,,,,,
PMLC,0,,,,,
TWP,0,,,,,
AJSP,0,,,,,
PMWP,0,,,,,
PNDP,0,,,,,
KMP,0,,,,,
IIP,0,,,,,
QTP,0,,,,,
APBP,0,,,,,
TTNP,0,,,,,
MAPP,0,,,,,
PKI,0,,,,,
MBMP,0,,,,,
PHRP,0,,,,,
SQI,0,,,,,
BNAP,0.111111111,,,,,
SDI,0,,,,,
STP,0,,,,,
PCP,0,,,,,
QAT,0,,,,,
RPMWP,0,,,,,
PML-Humkhiyal,0,,,,,
AQM,0,,,,,
PAQP,0,,,,,
MJAH-S,0,,,,,
HJQM,0,,,,,
PRHP,0,,,,,
PIKP,0,,,,,
PWL,0,,,,,
JDP,0,,,,,
MKPP,0,,,,,
TInstP,0,,,,,
TPAP,0,,,,,
NAP,0,,,,,
PMLP,0,,,,,
PGnP,0,,,,,
PML-SB,0,,,,,
