Constituency,Predicted Winning Serial Number,Predicted Winning Name of Candidate,Party
NA-1,6,Abdul Latif,PTI
NA-2,14,Haider Ali Khan,PTI
NA-3,24,Saleem Rehman,PTI
NA-4,40,Murad Saeed,PTI
NA-5,44,SAHIBZADA SIBGHATULLAH,PTI
NA-6,57,Mehboob Shah,PTI
NA-7,64,Muhammad Bashir Khan,PTI
NA-8,70,Junaid Akbar,PTI
NA-9,82,SHER AKBAR KHAN,PTI
NA-10,95,Waqar Ahmad Khan,PTI
NA-11,97,Aurang Zeb,PTI
NA-12,118,Muhammad Nawaz Khan,PTI
NA-13,130,Muhammad Baseer Khan,MMA
NA-14,137,Zar Gul Khan,PTI
NA-15,153,Ali Asghar Khan,PTI
NA-16,168,Ali Khan Jadoon,PTI
NA-17,184,Omar Ayub Khan,PTI
NA-18,191,ASAD QAISAR,PTI
NA-19,207,Usman Khan,PTI
NA-20,216,Mujahid Ali,PTI
NA-21,222,Muhammad Atif,PTI
NA-22,228,Ali Muhammad,PTI
NA-23,232,Anwar Taj,PTI
NA-24,242,Fazal Muhammad Khan,PTI
NA-25,254,Malik Jumma Kha,ANP
NA-26,260,Imran Khattak,PTI
NA-27,269,Tahir Nadeem,ANP
NA-28,276,Shafi Akbar,ANP
NA-29,280,Arbab Kamal Ahmad,ANP
NA-30,290,Muhammad Alamgir Khalil,ANP
NA-31,299,Shaukat Ali S.o Liaqat Ali,PTI
NA-32,307,Shehryar Afridi,PTI
NA-33,321,Khial Zaman,PTI
NA-34,338,Shahid Ahmad,PTI
NA-35,356,Imran Ahmad Khan Niazi,PTI
NA-36,361,Ishfaq Ahmed Khan,PTI
NA-37,380,Habib Ullah Khan,PTI
NA-38,399,Ali Amin Khan,PTI
NA-39,418,Muhammad Yaqoob Sheikh,PTI
NA-40,428,Gul Dad Khan,PTI
NA-41,444,Gul Zafar Khan,PTI
NA-42,453,Sajid Khan,PTI
NA-43,482,Noor ul Haq Alqadri,PTI
NA-44,483,Anwar Khan,IND
NA-45,519,Said Jamal,PTI
NA-46,554,Syed Iqbal Mian,PTI
NA-47,575,Jawad Hussain,PTI
NA-48,593,Aurangzeb Khan,PTI
NA-49,631,Dost Muhammad Khan,PTI
NA-50,659,Zarwali Khan,Jamiat Ulama-e-Islam Pakistan (S)
NA-51,690,Qaisar Jamal,PTI
NA-196,701,Abdul Ghani AG Ansari,MMA
NA-197,725,Nazar Ali Khan,IND
NA-198,738,Wahid Bux Bhaya,IND
NA-199,746,Najaf Ali Khan Kamario,IND
NA-200,764,Mushtaque hussain Buriro,IND
NA-201,772,Nazir Ahmed bughio,IND
NA-202,785,Nazeer Hussain Magsi,IND
NA-203,796,Nawabzada Rehn Chandio,IND
NA-204,806,Hallah Khan Pittafi,IND
NA-205,815,Mir Mujhtar Ahmed Khan lund,IND
NA-206,821,Syed Tahir Hussain shah,PTI
NA-207,850,Nubeen Ahmed,PTI
NA-208,867,Veero Mal,IND
NA-209,871,Syed Ameer umar Jeelani,TLP
NA-210,887,Himat Ali Budh,IND
NA-211,902,Ghazal Hussain,PTI
NA-212,915,Syed Kazim ali Shah,PTI
NA-213,928,Sardar shah Muhamma Baloch,GDA
NA-214,946,Syed Zain Ul Abdin,SUP
NA-215,958,Haji Khuda Bakhsh,GDA
NA-216,979,Yasir Ali,IND
NA-217,992,Mehar Ali Alia Mahi Khan,GDA
NA-271,3416,Mujeeb Ur Rehman,Allah-o-Akbar Tehreek
NA-218,1008,M Jibran,APML
NA-128,1000,Rais Ahmed Khan,PSP
NA-219,1010,Arbab Ghulam Rahim,GDA
NA-220,1022,Ghulam Hassan,SUP
NA-221,1031,Mumtaz Ali Rahman,IND
NA-222,1045,Hemoon,IND
NA-223,1057,Makhdoom Fazal hussain Qureshi,GDA
NA-224,1061,Ameer Alo thebo,SUP
NA-225,1076,Ameer Ali thebo,SUP
NA-226,1088,Sabir Hussain,MQM
NA-227,1099,Salahuddin son of Shelikh Rahimuddin,MQM
NA-228,1115,Lal bux,IND
NA-230,1123,Mirza Ali Mehdi Baig,IND
NA-231,1131,Abdul Rehman Mallah,IND
NA-232,1138,Mumtaz Ali Memon,IND
NA-233,1142,Syed Jala mehmood,SUP
NA-234,1149,Hammeda Khatomm,MMA
NA-235,1163,Muhammad channa,SUP
NA-236,1178,Mushtaq Ahmed Ishtiaq Dhool,Jannat Pakistan Party
NA-237,1193,M Mureed,IND
NA-238,1205,Shahi Syed,ANP
NA-239,1229,M Akram,PTI
NA-240,1240,Fakhar Manzoor,PTI
NA-241,1264,Nusrat Aqeel,Jamiat Ulama-e-Pakistan
NA-242,1283,Norr M,IND
