Constituency,Predicted Winning Serial Number,Predicted Winning Name of Candidate
NA-1,6,Abdul Latif
NA-2,14,Haider Ali Khan
NA-3,24,Saleem Rehman
NA-4,40,Murad Saeed
NA-5,44,SAHIBZADA SIBGHATULLAH
NA-6,57,Mehboob Shah
NA-7,64,Muhammad Bashir Khan
NA-8,70,Junaid Akbar
NA-9,82,SHER AKBAR KHAN
NA-10,95,Waqar Ahmad Khan
NA-11,97,Aurang Zeb
NA-12,118,Muhammad Nawaz Khan
NA-13,130,Muhammad Baseer Khan
NA-14,137,Zar Gul Khan
NA-15,153,Ali Asghar Khan
NA-16,168,Ali Khan Jadoon
NA-17,184,Omar Ayub Khan
NA-18,191,ASAD QAISAR
NA-19,207,Usman Khan
NA-20,216,Mujahid Ali
NA-21,222,Muhammad Atif
NA-22,228,Ali Muhammad
NA-23,232,Anwar Taj
NA-24,242,Fazal Muhammad Khan
NA-25,254,Malik Jumma Kha
NA-26,260,Imran Khattak
NA-27,269,Tahir Nadeem
NA-28,276,Shafi Akbar
NA-29,280,Arbab Kamal Ahmad
NA-30,290,Muhammad Alamgir Khalil
NA-31,299,Shaukat Ali S.o Liaqat Ali
NA-32,307,Shehryar Afridi
NA-33,321,Khial Zaman
NA-34,338,Shahid Ahmad
NA-35,356,Imran Ahmad Khan Niazi
NA-36,361,Ishfaq Ahmed Khan
NA-37,380,Habib Ullah Khan
NA-38,399,Ali Amin Khan
NA-39,418,Muhammad Yaqoob Sheikh
NA-40,428,Gul Dad Khan
NA-41,444,Gul Zafar Khan
NA-42,453,Sajid Khan
NA-43,482,Noor ul Haq Alqadri
NA-44,483,Anwar Khan
NA-45,519,Said Jamal
NA-46,554,Syed Iqbal Mian
NA-47,575,Jawad Hussain
NA-48,593,Aurangzeb Khan
NA-49,631,Dost Muhammad Khan
NA-50,659,Zarwali Khan
NA-51,690,Qaisar Jamal
NA-196,701,Abdul Ghani AG Ansari
NA-197,725,Nazar Ali Khan
NA-198,738,Wahid Bux Bhaya
NA-199,746,Najaf Ali Khan Kamario
NA-200,764,Mushtaque hussain Buriro
NA-201,772,Nazir Ahmed bughio
NA-202,785,Nazeer Hussain Magsi
NA-203,796,Nawabzada Rehn Chandio
NA-204,806,Hallah Khan Pittafi
NA-205,815,Mir Mujhtar Ahmed Khan lund
NA-206,821,Syed Tahir Hussain shah
NA-207,850,Nubeen Ahmed
NA-208,867,Veero Mal
NA-209,871,Syed Ameer umar Jeelani
NA-210,887,Himat Ali Budh
NA-211,902,Ghazal Hussain
NA-212,915,Syed Kazim ali Shah
NA-213,928,Sardar shah Muhamma Baloch
NA-214,946,Syed Zain Ul Abdin
NA-215,958,Haji Khuda Bakhsh
NA-216,979,Yasir Ali
NA-217,992,Mehar Ali Alia Mahi Khan
NA-271,3416,Mujeeb Ur Rehman
NA-218,1008,M Jibran
NA-128,1000,Rais Ahmed Khan
NA-219,1010,Arbab Ghulam Rahim
NA-220,1022,Ghulam Hassan
NA-221,1031,Mumtaz Ali Rahman
NA-222,1045,Hemoon
NA-223,1057,Makhdoom Fazal hussain Qureshi
NA-224,1061,Ameer Alo thebo
NA-225,1076,Ameer Ali thebo
